betId,marketId,matchName,playerName,side,odds,stake,liability,action,reason,placedAt,settledAt,pnl,dryRun,estimatedWinPnL,estimatedLossPnL
DRY-1778607283333-5380,1.258090077,Hamad Medjedovic v Martin Landaluce,Hamad Medjedovic,BACK,3.3,2,2,BET_PLACED,"Strat9: set 1 complete 5-7 (fav @ 1.78 pre-match), back playerA @ 3.3",2026-05-12T17:34:43.334Z,,,true,4.6,-2
DRY-1778608008400-7167,1.258083141,Coco Gauff v Mirra Andreeva,Coco Gauff,BACK,4,2,2,BET_PLACED,"Strat9: set 1 complete 4-6 (fav @ 1.93 pre-match), back playerA @ 4",2026-05-12T17:46:48.401Z,,,true,6,-2
DRY-1778604778115-7974,1.258034503,Yue Yuan v Mayar Sherif,Yue Yuan,BACK,1.65,2,2,DRY_LOSS,Match finished — lost,2026-05-12T16:52:58.115Z,2026-05-12T17:58:08.452Z,-2,true,1.3,-2
DRY-1778604778165-9216,1.258034503,Yue Yuan v Mayar Sherif,Yue Yuan,BACK,1.65,2,2,DRY_LOSS,Match finished — lost,2026-05-12T16:52:58.165Z,2026-05-12T17:58:08.453Z,-2,true,1.3,-2
DRY-1778607283333-5380,1.258090077,Hamad Medjedovic v Martin Landaluce,Hamad Medjedovic,BACK,3.3,2,2,DRY_LOSS,Match finished — lost,2026-05-12T17:34:43.334Z,2026-05-12T18:20:13.607Z,-2,true,4.6,-2
DRY-1778610148625-9436,1.258083141,Coco Gauff v Mirra Andreeva,Coco Gauff,BACK,1.75,2,2,BET_PLACED,"Strat7: set 2 complete 6-2 (fav @ 1.93 pre-match), back playerA @ 1.75",2026-05-12T18:22:28.625Z,,,true,1.5,-2
DRY-1778610148663-9052,1.258083141,Coco Gauff v Mirra Andreeva,Coco Gauff,BACK,1.75,2,2,BET_PLACED,"Strat11: set 2 complete 6-2 (fav @ 1.93 pre-match), back playerA @ 1.75",2026-05-12T18:22:28.663Z,,,true,1.5,-2
DRY-1778610148718-6827,1.258083141,Coco Gauff v Mirra Andreeva,Coco Gauff,BACK,1.75,2,2,BET_PLACED,"Strat12: set 2 complete 6-2 (fav @ 1.93 pre-match), back playerA @ 1.75",2026-05-12T18:22:28.718Z,,,true,1.5,-2
DRY-1778608008400-7167,1.258083141,Coco Gauff v Mirra Andreeva,Coco Gauff,BACK,4,2,2,DRY_WIN,Match finished — won,2026-05-12T17:46:48.401Z,2026-05-12T18:55:05.667Z,6,true,6,-2
DRY-1778610148625-9436,1.258083141,Coco Gauff v Mirra Andreeva,Coco Gauff,BACK,1.75,2,2,DRY_WIN,Match finished — won,2026-05-12T18:22:28.625Z,2026-05-12T18:55:05.668Z,1.5,true,1.5,-2
DRY-1778610148663-9052,1.258083141,Coco Gauff v Mirra Andreeva,Coco Gauff,BACK,1.75,2,2,DRY_WIN,Match finished — won,2026-05-12T18:22:28.663Z,2026-05-12T18:55:05.668Z,1.5,true,1.5,-2
DRY-1778610148718-6827,1.258083141,Coco Gauff v Mirra Andreeva,Coco Gauff,BACK,1.75,2,2,DRY_WIN,Match finished — won,2026-05-12T18:22:28.718Z,2026-05-12T18:55:05.668Z,1.5,true,1.5,-2
DRY-1778618341220-1765,1.258095629,Thiago Agustin Tirante v Daniil Medvedev,Thiago Agustin Tirante,BACK,4.3,2,2,BET_PLACED,"Strat9: set 1 complete 3-6 (fav @ 1.80 pre-match), back playerA @ 4.3",2026-05-12T20:39:01.220Z,,,true,6.6,-2
DRY-1778618341220-1765,1.258095629,Thiago Agustin Tirante v Daniil Medvedev,Thiago Agustin Tirante,BACK,4.3,2,2,DRY_LOSS,Match finished — lost,2026-05-12T20:39:01.220Z,2026-05-12T21:01:06.330Z,-2,true,6.6,-2
DRY-1778666886038-3124,1.258120349,Solana Sierra v Kaja Juvan,Solana Sierra,BACK,1.41,2,2,BET_PLACED,"Strat7: set 2 complete 6-2 (fav @ 2.86 pre-match), back playerA @ 1.45",2026-05-13T10:08:06.038Z,,,true,0.82,-2
DRY-1778666886075-1873,1.258120349,Solana Sierra v Kaja Juvan,Solana Sierra,BACK,1.41,2,2,BET_PLACED,"Strat12: set 2 complete 6-2 (fav @ 2.86 pre-match), back playerA @ 1.45",2026-05-13T10:08:06.075Z,,,true,0.82,-2
DRY-1778666886038-3124,1.258120349,Solana Sierra v Kaja Juvan,Solana Sierra,BACK,1.41,2,2,DRY_WIN,Match finished — won,2026-05-13T10:08:06.038Z,2026-05-13T10:29:01.201Z,0.82,true,0.82,-2
DRY-1778666886075-1873,1.258120349,Solana Sierra v Kaja Juvan,Solana Sierra,BACK,1.41,2,2,DRY_WIN,Match finished — won,2026-05-13T10:08:06.075Z,2026-05-13T10:29:01.202Z,0.82,true,0.82,-2
DRY-1778683917971-1174,1.258137531,Dominika Salkova v Mayar Sherif,Dominika Salkova,BACK,1.5,2,2,BET_PLACED,"Strat8: set 1 complete 7-6 (fav @ 1.43 pre-match), back playerA @ 1.5",2026-05-13T14:51:57.972Z,,,true,1,-2
DRY-1778683917971-1174,1.258137531,Dominika Salkova v Mayar Sherif,Dominika Salkova,BACK,1.5,2,2,DRY_WIN,Match finished — won,2026-05-13T14:51:57.972Z,2026-05-13T15:11:13.077Z,1,true,1,-2
DRY-1778700107734-5945,1.258047911,Luca Van Assche v Manuel Cerundolo,Manuel Cerundolo,LAY,1.35,2,0.7,BET_PLACED,"Strat3h: set 1 complete 6-7 (fav @ 1.91 pre-match), lay playerB @ 1.35",2026-05-13T19:21:47.734Z,,,true,2,-0.7
DRY-1778700107772-7253,1.258047911,Luca Van Assche v Manuel Cerundolo,Luca Van Assche,BACK,3.7,2,2,BET_PLACED,"Strat9: set 1 complete 6-7 (fav @ 1.91 pre-match), back playerA @ 3.7",2026-05-13T19:21:47.772Z,,,true,5.4,-2
DRY-1778700772798-7525,1.258095767,Elina Svitolina v Elena Rybakina,Elina Svitolina,BACK,2.86,2,2,BET_PLACED,"Strat7: set 2 complete 6-4 (fav @ 1.33 pre-match), back playerA @ 2.86",2026-05-13T19:32:52.798Z,,,true,3.72,-2
DRY-1778700107734-5945,1.258047911,Luca Van Assche v Manuel Cerundolo,Manuel Cerundolo,LAY,1.35,2,0.7,DRY_LOSS,Match finished — lost,2026-05-13T19:21:47.734Z,2026-05-13T20:03:02.949Z,-0.7,true,2,-0.7
DRY-1778700107772-7253,1.258047911,Luca Van Assche v Manuel Cerundolo,Luca Van Assche,BACK,3.7,2,2,DRY_LOSS,Match finished — lost,2026-05-13T19:21:47.772Z,2026-05-13T20:03:02.950Z,-2,true,5.4,-2
DRY-1778700772798-7525,1.258095767,Elina Svitolina v Elena Rybakina,Elina Svitolina,BACK,2.86,2,2,DRY_WIN,Match finished — won,2026-05-13T19:32:52.798Z,2026-05-13T20:23:33.047Z,3.72,true,3.72,-2
DRY-1778710703654-5678,1.258128144,Rafael Jodar v Luciano Darderi,Rafael Jodar,BACK,3,2,2,BET_PLACED,"Strat9: set 1 complete 6-7 (fav @ 1.92 pre-match), back playerA @ 3",2026-05-13T22:18:23.654Z,,,true,4,-2
DRY-1778714503985-348,1.258128144,Rafael Jodar v Luciano Darderi,Rafael Jodar,BACK,1.64,2,2,BET_PLACED,"Strat7: set 2 complete 7-5 (fav @ 2.06 pre-match), back playerA @ 1.64",2026-05-13T23:21:43.986Z,,,true,1.28,-2
DRY-1778714504029-3193,1.258128144,Rafael Jodar v Luciano Darderi,Rafael Jodar,BACK,1.64,2,2,BET_PLACED,"Strat12: set 2 complete 7-5 (fav @ 2.06 pre-match), back playerA @ 1.64",2026-05-13T23:21:44.029Z,,,true,1.28,-2
DRY-1778714814016-5718,1.258128144,Rafael Jodar v Luciano Darderi,Rafael Jodar,BACK,1.69,2,2,BET_PLACED,"Strat11: set 2 complete 7-5 (fav @ 2.06 pre-match), back playerA @ 1.69",2026-05-13T23:26:54.017Z,,,true,1.38,-2
DRY-1778710703654-5678,1.258128144,Rafael Jodar v Luciano Darderi,Rafael Jodar,BACK,3,2,2,DRY_LOSS,Match finished — lost,2026-05-13T22:18:23.654Z,2026-05-13T23:57:04.185Z,-2,true,4,-2
DRY-1778714503985-348,1.258128144,Rafael Jodar v Luciano Darderi,Rafael Jodar,BACK,1.64,2,2,DRY_LOSS,Match finished — lost,2026-05-13T23:21:43.986Z,2026-05-13T23:57:04.186Z,-2,true,1.28,-2
DRY-1778714504029-3193,1.258128144,Rafael Jodar v Luciano Darderi,Rafael Jodar,BACK,1.64,2,2,DRY_LOSS,Match finished — lost,2026-05-13T23:21:44.029Z,2026-05-13T23:57:04.186Z,-2,true,1.28,-2
DRY-1778714814016-5718,1.258128144,Rafael Jodar v Luciano Darderi,Rafael Jodar,BACK,1.69,2,2,DRY_LOSS,Match finished — lost,2026-05-13T23:26:54.017Z,2026-05-13T23:57:04.187Z,-2,true,1.38,-2
DRY-1778760378495-136,1.258163061,Barbora Krejcikova v Viktorija Golubic,Barbora Krejcikova,BACK,2.04,2,2,BET_PLACED,"Strat2: set 1 complete 6-7 (fav @ 1.27 pre-match), back playerA @ 2.04",2026-05-14T12:06:18.495Z,,,true,2.08,-2
DRY-1778760378538-1909,1.258163061,Barbora Krejcikova v Viktorija Golubic,Barbora Krejcikova,BACK,2.04,2,2,BET_PLACED,"Strat2h: set 1 complete 6-7 (fav @ 1.27 pre-match), back playerA @ 2.04",2026-05-14T12:06:18.538Z,,,true,2.08,-2
DRY-1778760378538-1909,1.258163061,Barbora Krejcikova v Viktorija Golubic,Barbora Krejcikova,BACK,2.04,2,2,TRADE_OUT,Set 2 result hedge,2026-05-14T12:06:18.538Z,2026-05-14T12:53:38.876Z,0.67,true,2.08,-2
DRY-1778763219030-2122,1.258163061,Barbora Krejcikova v Viktorija Golubic,Barbora Krejcikova,BACK,1.53,2,2,BET_PLACED,"Strat7: set 2 complete 6-3 (fav @ 4.60 pre-match), back playerA @ 1.53",2026-05-14T12:53:39.030Z,,,true,1.06,-2
DRY-1778763219160-7787,1.258163061,Barbora Krejcikova v Viktorija Golubic,Barbora Krejcikova,BACK,1.53,2,2,BET_PLACED,"Strat11: set 2 complete 6-3 (fav @ 4.60 pre-match), back playerA @ 1.53",2026-05-14T12:53:39.160Z,,,true,1.06,-2
DRY-1778763219289-7959,1.258163061,Barbora Krejcikova v Viktorija Golubic,Barbora Krejcikova,BACK,1.53,2,2,BET_PLACED,"Strat12: set 2 complete 6-3 (fav @ 4.60 pre-match), back playerA @ 1.53",2026-05-14T12:53:39.289Z,,,true,1.06,-2
DRY-1778763928952-1535,1.258160012,Dusan Lajovic v Daniel Altmaier,Dusan Lajovic,BACK,1.96,2,2,BET_PLACED,"Strat7: set 2 complete 7-5 (fav @ 1.65 pre-match), back playerA @ 1.96",2026-05-14T13:05:28.954Z,,,true,1.92,-2
DRY-1778760378495-136,1.258163061,Barbora Krejcikova v Viktorija Golubic,Barbora Krejcikova,BACK,2.04,2,2,DRY_WIN,Match finished — won,2026-05-14T12:06:18.495Z,2026-05-14T13:27:09.103Z,2.08,true,2.08,-2
DRY-1778763219030-2122,1.258163061,Barbora Krejcikova v Viktorija Golubic,Barbora Krejcikova,BACK,1.53,2,2,DRY_WIN,Match finished — won,2026-05-14T12:53:39.030Z,2026-05-14T13:27:09.104Z,1.06,true,1.06,-2
