betId,marketId,matchName,playerName,side,odds,stake,liability,action,reason,placedAt,settledAt,pnl,dryRun
DRY-1774296985144-1747,1.255692293,Hailey Baptiste v Jelena Ostapenko,Jelena Ostapenko,BACK,4,2,2,BET_PLACED,"Strategy 5: set 1 complete 6-3 (fav @ 1.93 pre-match), back playerB @ 4",2026-03-23T20:16:25.145Z,,,true,6,-2
DRY-1774295097582-7703,1.255650444,Frances Tiafoe v Jakub Mensik,Jakub Mensik,BACK,1.96,2,2,TRADE_OUT,Set 2 result hedge,2026-03-23T19:44:57.582Z,2026-03-23T20:29:31.304Z,0,true,1.92,-2
DRY-1774297776308-6417,1.255650444,Frances Tiafoe v Jakub Mensik,Jakub Mensik,BACK,1.96,2,2,BET_PLACED,"Strategy 4: set 1 complete 7-6 (fav @ 1.57 pre-match), back playerB @ 1.96",2026-03-23T20:29:36.308Z,,,true,1.92,-2
DRY-1774297776308-6417,1.255650444,Frances Tiafoe v Jakub Mensik,Jakub Mensik,BACK,1.96,2,2,TRADE_OUT,Set 2 result hedge,2026-03-23T20:29:36.308Z,2026-03-23T20:29:41.314Z,0,true,1.92,-2
DRY-1774296539491-5327,1.255650230,Sorana Cirstea  v Coco Gauff,Sorana Cirstea,BACK,2.06,2,2,DRY_LOSS,Match finished — lost,2026-03-23T20:08:59.491Z,2026-03-23T20:48:43.034Z,-2,true,2.12,-2
DRY-1774296985144-1747,1.255692293,Hailey Baptiste v Jelena Ostapenko,Jelena Ostapenko,BACK,4,2,2,DRY_LOSS,Match finished — lost,2026-03-23T20:16:25.145Z,2026-03-23T20:48:43.035Z,-2,true,6,-2
DRY-1774299649226-4690,1.255692293,Hailey Baptiste v Jelena Ostapenko,Jelena Ostapenko,BACK,1.9,2,2,BET_PLACED,"Strategy 2: set 1 complete 6-3 (fav @ 1.93 pre-match), back playerB @ 1.9",2026-03-23T21:00:49.226Z,,,true,1.8,-2
DRY-1774299649226-4690,1.255692293,Hailey Baptiste v Jelena Ostapenko,Jelena Ostapenko,BACK,1.9,2,2,DRY_LOSS,Match finished — lost,2026-03-23T21:00:49.226Z,2026-03-23T21:00:54.239Z,-2,true,1.8,-2
DRY-1774299659245-8354,1.255692293,Hailey Baptiste v Jelena Ostapenko,Jelena Ostapenko,BACK,1.9,2,2,BET_PLACED,"Strategy 4: set 1 complete 6-3 (fav @ 1.93 pre-match), back playerB @ 1.9",2026-03-23T21:00:59.245Z,,,true,1.8,-2
DRY-1774299659245-8354,1.255692293,Hailey Baptiste v Jelena Ostapenko,Jelena Ostapenko,BACK,1.9,2,2,DRY_LOSS,Match finished — lost,2026-03-23T21:00:59.245Z,2026-03-23T21:01:04.248Z,-2,true,1.8,-2


DRY-1774133730919-9756,,Gianluca Cadenasso v Lautaro Midon,Gianluca Cadenasso,BACK,1.96,2,2,DRY_WIN,Manually settled - match finished,2026-03-21T22:55:30.919Z,2026-03-23T21:30:27.237Z,1.92,true,,
DRY-1774133735926-3831,,Gianluca Cadenasso v Lautaro Midon,Gianluca Cadenasso,BACK,1.96,2,2,DRY_WIN,Manually settled - match finished,2026-03-21T22:55:35.926Z,2026-03-23T21:30:27.238Z,1.92,true,,
DRY-1774204864462-7189,,Iva Jovic v Talia Gibson,Iva Jovic,BACK,2.6,2,2,DRY_LOSS,Manually settled - match finished,2026-03-22T18:41:04.462Z,2026-03-23T21:30:27.238Z,-2,true,,
DRY-1774204869468-2992,,Iva Jovic v Talia Gibson,Iva Jovic,BACK,2.6,2,2,DRY_LOSS,Manually settled - match finished,2026-03-22T18:41:09.468Z,2026-03-23T21:30:27.238Z,-2,true,,
DRY-1774205174855-2159,,Iva Jovic v Talia Gibson,Iva Jovic,BACK,4.2,2,2,DRY_LOSS,Manually settled - match finished,2026-03-22T18:46:14.855Z,2026-03-23T21:30:27.238Z,-2,true,,
DRY-1774208915301-3010,,Carlos Alcaraz v Sebastian Korda,Carlos Alcaraz,BACK,1.64,2,2,DRY_LOSS,Manually settled - match finished,2026-03-22T19:48:35.302Z,2026-03-23T21:30:27.238Z,-2,true,,
DRY-1774208920301-7285,,Carlos Alcaraz v Sebastian Korda,Carlos Alcaraz,BACK,1.64,2,2,DRY_LOSS,Manually settled - match finished,2026-03-22T19:48:40.301Z,2026-03-23T21:30:27.238Z,-2,true,,
DRY-1774209696414-1425,,Carlos Alcaraz v Sebastian Korda,Carlos Alcaraz,BACK,2.72,2,2,DRY_LOSS,Manually settled - match finished,2026-03-22T20:01:36.414Z,2026-03-23T21:30:27.238Z,-2,true,,
DRY-1774212835696-9477,,Tommy Paul v Raphael Collignon,Raphael Collignon,BACK,3,2,2,DRY_LOSS,Manually settled - match finished,2026-03-22T20:53:55.696Z,2026-03-23T21:30:27.238Z,-2,true,,
DRY-1774212840711-8900,,Tommy Paul v Raphael Collignon,Raphael Collignon,BACK,3,2,2,DRY_LOSS,Manually settled - match finished,2026-03-22T20:54:00.711Z,2026-03-23T21:30:27.238Z,-2,true,,
DRY-1774213316429-4555,,Tommy Paul v Raphael Collignon,Raphael Collignon,BACK,5.3,2,2,DRY_LOSS,Manually settled - match finished,2026-03-22T21:01:56.429Z,2026-03-23T21:30:27.238Z,-2,true,,
DRY-1774216540878-2810,,Qinwen Zheng v Madison Keys,Qinwen Zheng,BACK,3,2,2,DRY_WIN,Manually settled - match finished,2026-03-22T21:55:40.878Z,2026-03-23T21:30:27.238Z,4,true,,
DRY-1774216545885-5332,,Qinwen Zheng v Madison Keys,Qinwen Zheng,BACK,3,2,2,DRY_WIN,Manually settled - match finished,2026-03-22T21:55:45.885Z,2026-03-23T21:30:27.238Z,4,true,,
DRY-1774216550894-8331,,Qinwen Zheng v Madison Keys,Qinwen Zheng,BACK,3,2,2,DRY_WIN,Manually settled - match finished,2026-03-22T21:55:50.894Z,2026-03-23T21:30:27.238Z,4,true,,
DRY-1774262468715-1335,,Eero Vasa v Oleksii Krutykh,Eero Vasa,BACK,2,2,2,DRY_LOSS,Manually settled - match finished,2026-03-23T10:41:08.715Z,2026-03-23T21:30:27.238Z,-2,true,,
